Date Collected,Tweet_count,Username,Text,Created At,Retweets,Likes
2024-09-23,17,Kamala HQ,"Left: Trump saying in 2020 that “the stock market will crash” if Biden is elected

Right: The Dow hitting 40,000 for the first time ever in history today https://t.co/9QHUZzL0xj",Thu May 16 21:16:30 +0000 2024,1742,8555
2024-09-23,18,Stock Market News,"European Wellness inaugura un centro de bienestar médico de primer nivel en Kota Kinabalu, Sabah: -European Wellness inaugura un centro de bienestar médico de primer nivel en Kota Kinabalu, Sabah: un hito en la atención médica mundial KOTA KINABALU,… https://t.co/UB7CDQ4Smy",Mon Sep 23 05:27:10 +0000 2024,0,0
2024-09-23,1,Russian Market,"New batches of electronic devices: iPhones, Notebooks — are exploding right in the stores. Footage shows terrified employees of one such shop, who miraculously managed to run outside just in time.

Apple stock so far untouched $aapl #Lebanon https://t.co/1q5DEluVIy",Wed Sep 18 15:24:17 +0000 2024,285,628
2024-09-23,2,SULLY,"The stock market is crashing. #KamalaCrash 

Meanwhile, this is the person in charge. 
https://t.co/3TOU956LpK",Mon Aug 05 15:50:55 +0000 2024,2973,8062
2024-09-23,3,Collin Rugg,"NEW: GameStop stock explodes as 'Roaring Kitty' returns to X in his first post since June 18, 2021.

Short sellers have suffered a mark-to-market loss of ~$1 billion as GME is up over 70% today. (CNBC)

'Roaring Kitty' went viral in 2021 for kickstarting the ""meme stock frenzy"" https://t.co/MKhk1O8iCy",Mon May 13 16:19:48 +0000 2024,1457,13212
2024-09-23,4,Stock Market News,"Skanska selected for reservoir construction project in Yonkers, NY, USA, for USD 630M, about SEK 6.6 billion: STOCKHOLM, Sept. 23, 2024 /PRNewswire/ -- Skanska has, in a joint venture with ECCO III Enterprises, Inc., signed a contract with the New York… https://t.co/ZscrMrpF6t",Mon Sep 23 05:41:08 +0000 2024,0,0
2024-09-23,5,Kamala HQ,"Four years ago today, the stock market logged its worst week since the Great Recession

Today, the Dow, S&amp;P 500, and Nasdaq hit the highest level they’ve ever been in history https://t.co/qF3sVJ26Rt",Thu Mar 21 00:41:54 +0000 2024,1966,5346
2024-09-23,6,Annie,"While the stock market is at all time high, Trump’s Truth Social is at an all time low! 😂 https://t.co/CxYcGqZKX9",Fri Sep 20 18:31:11 +0000 2024,505,1532
2024-09-23,7,Quiver Quantitative,"Nancy Pelosi has made $3,090,000 in the stock market so far today.

That is 17x her annual salary, in unrealized gains.

The market has only been open for 3 hours. https://t.co/xhmQPI536F",Thu Sep 19 16:39:34 +0000 2024,680,1637
2024-09-23,8,Kamala HQ,"Left: Trump saying in 2020 that “the stock market will crash” if Biden is elected

Right: The Dow hitting 40,000 for the first time ever in history today https://t.co/9QHUZzL0xj",Thu May 16 21:16:30 +0000 2024,1742,8555
