Date,Tweet Count,Username,Text,Created At,Retweets,Likes
2022-01-04,9,Hek,"I’ve said this before but, the 10yr above that red TL and this bull market is cooked.

Looks like $ZB is aiming for ~146… which would put 10 year around 2.3%

Now 1.66% https://t.co/ysPZSgdWBI",Tue Jan 04 23:53:02 +0000 2022,5,40
2022-01-04,10,ChilledKongs Sales,"ChilledKong0796 with Lipstick Kiss (2.32%) was market-bought on CNFT for 785 ADA ($1,031.08) https://t.co/kUTf0Os6kI",Tue Jan 04 23:55:34 +0000 2022,0,5
2022-01-03,1,CA Vipul Makwana,"Thread on Natural Capsules Ltd 🧵

#Basics
1. CMP 335.65 (as on 03-01-2022)
    Listed only on BSE (Code :- 524654)
    Micro Cap Company (Mkt Cap 314 crores)
(1/14) https://t.co/oGzU4TgxzR",Mon Jan 03 13:27:49 +0000 2022,76,377
2022-01-03,2,Share Academy,#BREAKOUTSTOCKS  here is the list of stocks on fresh breakout level with strong fundamentals for fresh buy @cmp https://t.co/qWZdQoaROi,Mon Jan 03 09:31:24 +0000 2022,19,308
2022-01-03,3,♠Trader ACE♠🎲🎲,"breaking down the market for the team
took it very light today and followed through on my plan all from the comfort of my cozy couch🥰
come trade with us! and checkout our latest course.
#LoveYourJob #Optionstrader #Optionstrading #wallst #stovks #stockmarket https://t.co/y78O8UCzTF",Mon Jan 03 23:52:34 +0000 2022,0,2
2022-01-03,4,Indradeep Khan,"The highest returns investments in 2021

NIFTY - 23% 
Nasdaq - 27%
Crude - 55%
Bitcoin - 61% 
Ads in the Hindu - 10,000% https://t.co/5UCRlZ1q7i",Mon Jan 03 12:05:03 +0000 2022,45,217
2022-01-03,5,MarketAg WA,Market move since Friday: CBOT wheat down A$8 (Mar) and EU canola up A$22 (Feb) https://t.co/trZsUpqSWT,Mon Jan 03 23:56:43 +0000 2022,0,2
2022-01-03,6,Sonu Varghese,"Of the S&amp;P 500's 26.9% price return in 2021,

Earnings growth: 34.5%
Multiple growth: -7.6%

Via JPM Guide to Markets https://t.co/eHR9uRjEtr",Mon Jan 03 20:31:57 +0000 2022,43,284
2022-01-03,7,CNBC-TV18,"FIIs net buy at ₹ 902.64 cr while DIIs net buy at ₹ 803.11 cr in  equities today (provisional)

#FII #DII https://t.co/PKTAS0iddm",Mon Jan 03 13:35:26 +0000 2022,27,463
2022-01-03,8,Trader Nikkhil Gupta,"Net gai: ₹5.19 lakhs
Captured delta in todays move https://t.co/SswFPSntRV",Mon Jan 03 09:39:24 +0000 2022,17,372
2022-01-03,9,Alex Becker 🍊🏆🥇,"And NFTs yet again, save the market.

NFT profits/awareness roll into gaming.

We will see an earth shattering gaming bull run here this year.",Mon Jan 03 21:46:34 +0000 2022,633,6151
2022-01-03,10,Theta Warrior,"TW #FocusList 🛰

$MU Calls &gt;95 | Puts &lt;92.06
$NVDA Calls &gt;300.59 | Puts &lt;287.78
$ROKU Calls &gt;241.46 | Puts &lt;222.06
$SQ Calls &gt;168.63 | Puts &lt;157.47

New year; clean slate. Good luck traders! https://t.co/5lHqIWgnEQ",Mon Jan 03 01:08:13 +0000 2022,38,361
2022-01-05,1,Sharad Jhunjhunwala,"#Markets 

Simple Tape Reading and Psychology explained in Youtube Video of 27th December, 21, at 17k levels of #Nifty.

Exact Momentum and Level of 18k mentioned when Fear was at its PEAK 

Repeat : Don't Buy the Fear of Covid and Don't Sell the same in Market https://t.co/hRBm5P7V8z",Wed Jan 05 11:49:08 +0000 2022,29,419
2022-01-05,2,TheGrimm,"This is me today 😂 just watching the market pull hard  😂😂😂 $SPY, $TSLA, and $BABA https://t.co/JlpYup2Dym",Wed Jan 05 23:55:28 +0000 2022,1,3
2022-01-05,3,JimmyJab,"Down almost 10% with low volume and no catalysts.

Not a single green candle the 30min chart. Barely any on the 15min.

RSI has been oversold for days. It is at 13 on the 30min chart (below 30 RSI is considered oversold...)

This is a robbery in broad fucking daylight @SECGov https://t.co/UgGLoIJu0Z",Wed Jan 05 18:11:26 +0000 2022,79,356
2022-01-05,4,Lily Ray 😏,"Here's how the SERP has changed for the KW ""school girl"" in the past 4 years:

In 2018, most of the results were costume stores selling ""sexy schoolgirl"" outfits.

In 2022, none of the results are for sexy costumes, but rather, stock photography (very PC), shopping for girls, etc https://t.co/dxcgx5j18e",Wed Jan 05 23:55:15 +0000 2022,5,33
2022-01-05,5,heckman,"ALPHA ALERT 🚨 

Best Gutter Cat Deal on the market!!! (Not mine, just saw it)
Listed at 7.6e!
#StealSZN https://t.co/FE6U8ztNjd",Wed Jan 05 23:59:42 +0000 2022,7,63
2022-01-05,6,Option Square,"📊Elpro International : 67.1

🌟Promoter Holdings : 74.99%
🌟FII Holdings : 14.13%
🌟Promoter added stake previous Qtr
🌟MV of Investment in PNB Metlife worth 1424.69CR
🌟Current market cap :1137cr
🌟Small Retailer holding  5.5%

💹Stake sell in PNB Metlife can be value Unlocking https://t.co/NUzWuor6vo",Wed Jan 05 16:19:41 +0000 2022,75,267
2022-01-05,7,Cryptoein.eth,"Market Caps For Popular NFT Projects (Floor X Supply)

BAYC $2,365,000,000
MAYC $911,000,000
VeeFriends $429,098,000
CLONEX $373,520,000
Cool Cats $351,200,000
Doodles $293,000,000
Fidenza $242,757,000

Continued Below....",Wed Jan 05 23:56:57 +0000 2022,1,13
2022-01-05,8,Human Capital Stock 𓅔🔻,THIS 👇,Wed Jan 05 23:59:48 +0000 2022,0,3
2022-01-05,9,KnowledgeX,This stock is not for short term traders. It’s a multi bagger contender. https://t.co/riqmyrOBZW,Wed Jan 05 08:05:57 +0000 2022,45,428
2022-01-05,10,ChilledKongs Sales,"ChilledKong4883 with Green Kimono (2.00%) was market-bought on CNFT for 1,170 ADA ($1,448.89) https://t.co/J2U07tZewa",Wed Jan 05 23:58:17 +0000 2022,1,6
2022-01-09,1,Don Durrett - goldstockdata.com,"I just analyzed Abrasilver Resources. It looks juicy. Argentina is not a favored location due to their currency controls which act as a high tax rate, but this stock is very cheap. Future FCF could be huge. It's not a high cost mine. https://t.co/T1bzRmQ0bs",Sun Jan 09 23:26:19 +0000 2022,26,200
2022-01-09,2,John Quakes,"Jeff Currie at Goldman Sachs on #Uranium:🗣️ ""outlook is extremely positive just from a fundamental perspective and then you throw #Kazakhstan issues on top of it it just creates a much more bullish outlook for uranium""🤠🐂 #Nuclear #CarbonFree #ESG 🏄‍♂️📺  https://t.co/bewxfi8jz9",Sun Jan 09 17:40:51 +0000 2022,36,233
2022-01-09,3,Naresh Nambisan | നരേഷ്,This video reminded me about the herd mentality in #Stockmarket. Watch carefully 😎 #Investing #Nifty50 https://t.co/3hDioiViyd,Sun Jan 09 05:40:00 +0000 2022,33,245
2022-01-09,4,Kavita,"Have shared Banknifty analysis for 10JAN  in HINDI and ENGLISH on my YOUTUBE channel.

English Video
https://t.co/6hgRHjWkAn

Hindi Video
https://t.co/sMvQY0mVP7 https://t.co/KdBXpX0Q8s",Sun Jan 09 14:33:15 +0000 2022,13,198
2022-01-09,5,Abhijit Chokshi | Investors का दोस्त,"Investors have lost almost 60,000 Crores in these 20 stocks https://t.co/GJxQoxD5Bz",Sun Jan 09 04:01:54 +0000 2022,131,750
2022-01-09,6,PlanB,"I know some people have lost faith in this #bitcoin bull market. However we are only halfway into the cycle (2020-2024). And although BTC experiences some turbulence at $1T, the yellow gold cluster at S2F60/$10T (small black dots are 2009-2021 gold data)  is still the target IMO. https://t.co/xWFQKKnndP",Sun Jan 09 12:46:26 +0000 2022,1620,11760
2022-01-09,7,Dr- Fares Alotaibi,"تطبيق على الأنماط 
سهم سيسكو يومي
كوب و عروة يكتمل بتجاوز
33.35 و الهدف 38.5 تحليل
فني فقط و ليست توصية .... https://t.co/SsKnfec3HO",Sun Jan 09 18:48:25 +0000 2022,35,188
2022-01-09,8,Buy_the_Dip,"$AVCT #AVCT Still riding up our line of support. Still incredibly bullish on this stock, the short borrow fee is still through the roof and the available shares are back under 5,000. 
#stocks #stockmarket #shortsqueeze https://t.co/UCgNSnAlia",Sun Jan 09 23:49:20 +0000 2022,1,3
2022-01-09,9,Chartmojo,"Stock pick of the week!
Arvind Smartspaces (Daily)

1- Volume Increasing Seen
2- Continuation Pattern Active 
3- Holding up well

Keep on Radar.
Potential Upside Stock!
#stocks #trading #watchlist https://t.co/ShVJyHjrLU",Sun Jan 09 05:01:34 +0000 2022,52,497
2022-01-09,10,ChilledKongs Sales,"ChilledKong2471 with Chilled Bearded Blunt (1.18%) was market-bought on https://t.co/L35OIFJv6U for 1,111 ADA ($1,306.76) https://t.co/kikSYEhUDK",Sun Jan 09 23:54:34 +0000 2022,4,27
2022-01-08,1,Efe Bulduk,"A market cycle &amp; harmonic patterns based TA dropped to my mailbox this morning ☀️

Looks like the market follows similar price actions since January 8,2021.

What to expect then?
🔸A rise to roughly 45-46k
🔸Retest of orange support (5)
🔸Rally to break upper band of the wedge https://t.co/m4CwGFg8KH",Sat Jan 08 09:18:29 +0000 2022,53,720
2022-01-08,2,Jordan Lindsey,"-Please do not feed the bears-

Notable occurrence of 10 year and #bitcoin correlation deviating was six weeks into the 2018 bear market.

Current deviation is taking place six week from the last BTC all time high.

*I do not believe we are in a bear market. https://t.co/WD6GIbXFTd",Sat Jan 08 23:54:14 +0000 2022,21,220
2022-01-08,3,jitu,"#GujaratGas

Above 700 DCB

Next target 785 &amp; 1000

SL 590 WCB https://t.co/8Zzos15bxz",Sat Jan 08 13:26:32 +0000 2022,21,230
2022-01-08,4,ChilledKongs Sales,"ChilledKong1998 with Whind Glasses (1.95%) was market-bought on CNFT for 950 ADA ($1,131.28) https://t.co/uHxN0cQMU7",Sat Jan 08 23:55:13 +0000 2022,0,8
2022-01-08,5,Tony Stonk ™,"One share or millions, if you invest in $AMC &amp; $GME and hold your ground, you are treated with the same respect you deserve! There is NO CLASS system here. No want, beyond the success of EVERYONE!

It’s very simple! We like the stock! We will continue to hold and invest. 🥂💎🙌❤️",Sat Jan 08 23:58:31 +0000 2022,34,206
2022-01-08,6,mageta 🎨,"Stealth Moose reveal will be when all 42 sell out or 2 weeks from today.

Get them here: https://t.co/xVW4xlEdBA https://t.co/XaIzRRV8MO",Sat Jan 08 23:55:50 +0000 2022,8,14
2022-01-08,7,Adam Mancini,"Have a great weekend! The 50DMA saved #ES_F this week, but bulls not out of the woods. Ugly weekly engulfing candle

Plan next Week: Relief bounce shot to 4705, 4745.Unless bulls clear 4745, next leg down to 4585-75 buy zone incoming. Warning: 4650 goes 1st we head there direct https://t.co/ma8VSwXoFQ",Sat Jan 08 19:38:52 +0000 2022,78,546
2022-01-08,8,Key.ma,The #Forex #market is open. Let's go get some #pips ;) #fx,Sat Jan 08 23:59:49 +0000 2022,1,0
2022-01-08,9,Crazynaval,"#PPFAS December 2021 Factsheet

1. Added in banks + MoSf: 35% of new money (Approx)
2. Massive addition in ITC. Approx 24% new money 
3. Accumulation in Hero and Powergrid +10%
4. FANG + bit of Pharma 
5. Selling in Persistence and Mphasis continues

#Onefund #PPFAS https://t.co/UBpLd4fF36",Sat Jan 08 09:17:14 +0000 2022,118,869
2022-01-08,10,VictoryVik - 🇨🇦,"The US mandates are effective on the 22nd of January. Stock up some food, water, and have some cash on hand.",Sat Jan 08 23:53:36 +0000 2022,7,11
2022-01-07,1,Anarcho-Mau-Mauist🏴🌲,Can’t tax the black market. https://t.co/fDXNbAxpRX,Fri Jan 07 23:57:01 +0000 2022,3,14
